,标题,价格,购买数量,外部系统编号,商品属性,套餐信息,备注,订单状态,商家编码,订单编号
174,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2496772465984838
175,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2241523366350742
176,日本fancl美白丸全身,204,2,490804934732,,,,卖家已发货，等待买家确认,490804934732,2496511825405309
177,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2400569936347265
178,香港直邮  日本FANC,298,1,490804917306,,,,卖家已发货，等待买家确认,490804917306,2398567359315574
179,日本kawai卡哇伊肝油,259,1,498704921251,,,,卖家已发货，等待买家确认,498704921251,2399904103052599
180,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2241795786813051
181,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2241751380693551
182,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2397679085185581
183,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2492277606362210
184,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2398109291615594
185,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2491449802207002
186,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2491922855469333
187,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2491718067049818
188,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2240779374509557
189,comvita康维他新西,249,1,940050100111,,,,交易关闭,940050100111,2394726487704176
190,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2491285666003434
191,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2489191077063916
192,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2490181050063337
193,日本FANCL复合维生素,99,1,490804928347,,,,交易关闭,490804928347,2490779269908629
194,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2394129482876896
195,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2395311492682582
196,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2394773698641490
197,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2392966520345767
198,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2393493734424062
199,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2486774249585712
200,FANCL/芳珂 HTC,198,1,490804926704,,,,卖家已发货，等待买家确认,490804926704,2391343887613786
201,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2487142453716225
202,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2239086384603744
203,fancl/芳珂燃脂素 ,258,1,490804914233,,,,卖家已发货，等待买家确认,490804914233,2389745513249482
204,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2391179102222389
205,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,卖家已发货，等待买家确认,456026429341,2237668162323452
206,日本fancl美白丸全身,455,1,ecms-tz-0010,,,,卖家已发货，等待买家确认,ecms-tz-0010,2483161876279329
207,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2237447366708151
208,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2387782684431179
209,日本fancl美白丸全身,204,1,490804934732,,,,卖家已发货，等待买家确认,490804934732,2482465075996934
210,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2238274978696949
211,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2388221706973295
212,fancl/芳珂 祛痘淡,198,2,490804934733,,,,卖家已发货，等待买家确认,490804934733,2482593053002237
213,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2387698308519398
214,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2237812186874647
215,日本FANCL复合维生素,99,2,490804928347,,,,卖家已发货，等待买家确认,490804928347,2482057260153819
216,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2235584794525244
217,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易关闭,456026429341,2384379919061699
218,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,卖家已发货，等待买家确认,456026429338,2385485293975684
219,日本代购新谷酵素夜迟减肥,399,1,456026429341,,,,交易关闭,456026429341,2480064061923416
220,日本代购新谷酵素夜迟减肥,399,1,456026429338,,,,交易关闭,456026429338,2382891680987983
221,普利普莱氨糖软骨素美国三,489,1,ecms-tz-0010,,,,交易关闭,ecms-tz-0010,2235608761052251
222,日本FANCL复合维生素,99,1,490804928347,,,,卖家已发货，等待买家确认,490804928347,2476974849721530
223,ASANA补肝素 螺旋藻,198,1,489700682540,,,,卖家已发货，等待买家确认,489700682540,2476705202367205
224,日本代购新谷酵素夜迟减肥,399,2,456026429338,,,,卖家已发货，等待买家确认,456026429338,2476183877964522
